gene_symbol	Control1	Control2	Control3	Control4	Diseased1	Diseased2	Diseased3	Diseased4
TSPAN17	42	44	76	14	165	58	157	159
NOP16	8	8	31	4	41	29	59	74
CC2D2A	95	88	213	9	788	365	353	765
RRM2B	55	48	93	27	472	338	230	581
ZNF800	65	65	123	10	352	282	220	489
SNX29	241	229	368	36	1181	618	598	1311
LMO3	28	44	62	23	77	123	15	136
MRPS10	7	24	42	1	107	130	62	193
GUCA1A	3	3	1	1	1	2	0	7
RSF1	256	243	433	70	1797	1331	858	2561
VPS13D	504	453	996	40	2648	1936	1470	4007
CELF2	139	185	415	25	1174	865	565	1504
FAM120A	188	136	346	9	1269	744	750	1414
R3HDM1	33	38	86	5	321	175	226	490
COL9A2	4	15	8	2	27	25	39	70
KITLG	68	98	212	32	570	863	318	1509
ERCC8	11	6	21	4	59	70	36	101
ADAMTS6	35	41	51	20	197	50	70	76
H6PD	389	261	599	23	1341	885	1109	2123
VAMP3	85	73	181	7	600	601	301	1072
PER3	408	300	721	28	3689	1934	1680	2428
TNFRSF9	9	10	6	8	44	10	13	15
EPN3	7	20	6	7	0	9	11	14
LTBP1	476	156	389	8	1317	630	592	1692
RCN1	89	62	178	5	1214	513	501	681
ELN	122	118	292	12	1568	549	959	799
RFC2	15	13	27	1	89	64	47	67
ARID1B	491	508	784	160	2559	1695	1505	3344
CLPTM1L	70	57	118	9	361	201	204	534
NEDD4L	28	50	48	39	75	221	53	344
PPP1R3F	39	39	26	19	55	49	93	128
HEXB	118	69	181	5	1188	470	506	893
PTCD2	38	69	65	31	103	128	72	231
NEXMIF	26	64	35	43	13	32	36	32
JKAMP	15	15	38	3	138	108	87	233
DKK3	1694	412	1748	19	5860	1964	4051	4207
ARHGEF5	61	66	40	43	326	95	71	48
NFE2L3	9	21	24	13	70	32	42	58
MCUR1	44	23	76	13	184	187	124	402
LIMA1	750	619	1389	46	6435	3688	2644	5605
LETMD1	71	85	107	25	287	276	194	584
SLC4A8	45	67	53	38	14	35	57	28
LAMC3	160	94	135	6	41	330	165	638
PTGER3	17	52	70	40	115	311	73	322
TNIP3	1	4	5	5	0	0	2	2
MAPK9	57	47	79	19	359	128	234	317
COL23A1	4	10	13	5	25	22	21	96
BCAR1	114	101	137	7	519	252	590	606
FAM160A2	54	51	109	6	237	212	250	371
HERPUD1	107	76	173	5	527	221	398	883
HOMER3	32	23	39	1	288	145	154	105
RAD51	3	3	5	0	23	0	8	0
POLQ	9	28	15	21	38	29	5	17
PIK3CB	60	39	90	17	251	169	195	506
CYBA	22	27	60	5	305	115	161	157
THOC3	22	8	52	4	134	128	106	203
HEBP2	109	84	155	38	499	331	397	769
MPHOSPH9	32	32	48	9	201	127	76	230
PLEKHA5	118	145	211	25	1435	766	493	1630
PRSS8	4	2	3	1	6	1	3	11
SIKE1	35	33	97	26	368	203	231	458
RRP12	38	42	40	13	123	66	129	122
FNIP2	107	80	217	23	598	480	439	1015
MSMO1	12	8	14	6	89	54	58	132
TTC17	160	158	355	15	1029	1052	658	1696
ALX4	32	26	28	15	43	19	52	44
FSTL4	10	13	10	9	10	1	5	2
FOXN3	255	188	374	24	1841	1023	1236	2674
METTL24	7	12	8	3	38	12	32	15
AKR7A2	35	14	57	0	242	138	87	179
MRTO4	20	18	48	3	113	41	80	143
NNAT	1	3	14	0	7	96	14	77
USE1	12	11	21	4	103	102	57	101
MCF2L2	72	93	68	62	41	57	65	10
NRIP2	6	11	10	4	59	41	16	25
LAMA3	103	155	374	5	1014	715	499	1871
AP5M1	40	52	103	27	264	397	121	476
ANAPC4	42	67	87	26	310	311	150	499
KCNQ1	6	9	18	3	50	67	16	44
TRAPPC3	35	24	52	13	232	98	97	285
THRAP3	231	228	508	8	2291	1080	965	2187
PHPT1	31	33	72	8	215	75	138	241
ENTPD2	3	11	4	3	3	2	1	33
LY75	39	52	73	20	149	195	109	448
ARID4B	205	210	319	26	1435	1001	775	2267
OPN3	6	5	12	4	43	17	7	28
SDCCAG8	46	39	114	5	499	334	225	753
PTPRN	29	11	11	13	18	8	12	10
HHAT	35	27	24	21	48	51	25	37
KIF1B	417	412	670	66	2583	1245	1128	2895
FOXC1	37	68	61	24	200	255	138	359
TBC1D22A	58	64	110	5	350	230	158	559
SYNE2	1007	1345	2791	59	7575	6322	3194	17509
PLEKHH1	23	22	18	20	57	61	33	151
ATP9A	212	133	255	24	910	757	560	1200
CBLN4	7	10	8	7	4	0	6	5
CHRDL2	0	4	1	4	143	21	35	1
FAM168A	169	166	286	33	1168	535	622	1270
RELT	22	49	31	16	65	78	37	24
GALC	56	46	82	16	211	143	153	321
NOP58	56	47	89	1	283	229	198	440
SZRD1	128	73	199	10	731	361	411	689
KCNH2	1	8	1	3	0	1	4	1
CUL1	61	53	112	1	464	295	261	643
FAM114A2	38	27	67	11	262	250	114	406
CYFIP2	28	50	52	26	62	33	28	123
TAB2	95	101	171	21	982	599	507	1236
GINM1	80	54	123	0	611	270	306	725
EIF2AK2	182	165	367	31	1670	877	768	2249
USP36	173	149	307	27	734	420	492	1009
KMT2C	734	653	1277	57	4473	2801	2611	6106
MCOLN3	76	46	110	17	821	222	155	451
CCDC85A	47	31	61	7	169	148	94	320
PUM2	128	175	368	11	1305	1114	829	1890
MRPL43	33	26	54	3	120	102	154	234
ITIH4	11	12	20	4	41	42	20	66
ITIH1	2	3	2	4	0	0	1	2
C4orf27	9	8	15	0	165	102	47	112
ZFR	154	114	341	7	1764	1217	741	1648
ZNF280C	10	14	24	1	139	98	60	114
NPFFR2	12	11	15	15	0	4	32	8
PHF21B	9	23	12	14	5	0	17	30
TRAF1	84	93	83	23	131	122	180	368
RC3H2	121	102	239	26	1048	584	503	1361
IL17RB	8	8	3	3	25	4	2	10
TRAF3IP2	40	27	62	13	156	141	83	253
GYG2	13	14	42	14	3	174	9	139
DCBLD2	35	57	103	19	308	212	161	466
SERPINB3	3	7	1	3	0	0	0	6
SOAT1	61	41	104	4	319	205	170	475
PKP2	14	23	12	16	17	75	7	33
MSH4	6	11	3	4	0	8	10	1
F7	2	5	1	6	9	0	9	5
GDI2	195	176	500	18	2847	2104	1308	3311
PRDM1	16	22	22	12	70	28	69	74
ATG5	45	54	88	14	177	267	162	341
TMCC3	19	38	61	29	108	75	122	276
PITHD1	17	24	80	2	238	143	107	299
MTA3	71	66	64	26	281	226	143	398
USP13	100	70	92	33	448	218	165	548
ATP11B	140	93	216	11	1009	650	755	1226
LAMC2	11	21	31	14	29	57	49	76
CDK14	54	45	67	21	755	315	454	530
SEC61A1	164	118	259	14	1190	652	853	920
PPP1R12A	324	285	657	41	2446	1573	1193	3223
RASGRF1	12	21	11	20	5	2	16	17
CAMK2B	7	4	5	5	12	0	10	4
CROCC	252	262	233	28	461	962	511	787
POLR3E	67	71	129	14	370	292	243	423
ATP2B4	819	469	1464	31	4000	1972	2479	4287
ZC3H11A	211	307	251	46	2470	2053	1639	3656
RIOK2	41	44	53	12	198	183	98	340
YIPF1	18	5	13	1	44	65	17	68
NDC1	12	14	23	5	84	78	74	209
DGKG	46	56	57	42	148	54	76	158
FLYWCH1	78	158	175	12	394	273	325	652
UNKL	71	78	75	11	269	215	260	481
TBXAS1	29	26	39	10	51	63	19	35
PARP12	48	46	94	17	285	126	160	541
ALDH18A1	55	28	74	2	316	141	330	168
TARBP1	44	62	92	9	312	378	167	523
GATB	51	82	78	60	63	74	72	144
MXD1	37	38	32	18	220	85	106	169
CDK17	45	40	115	2	444	334	231	651
DNAJC25	9	13	28	5	191	94	86	118
SLC2A3	68	86	68	12	539	198	247	457
PSD	4	9	1	7	0	3	10	6
CTDP1	58	51	73	9	248	172	179	251
YBX3	423	340	790	35	1960	1574	1273	3212
STYK1	4	11	10	3	3	5	2	10
WNK1	821	782	1817	34	6204	2962	2417	7919
RPS17P5	4	3	2	0	0	0	3	1
CCAR1	102	106	215	2	888	590	313	1162
OGFR	66	82	143	12	272	264	281	323
GNA15	7	12	11	2	17	23	52	24
CREB3L3	1	7	2	4	7	0	3	0
PIGV	19	24	27	10	84	49	41	85
PTPRU	137	84	147	4	450	322	292	457
SNRNP40	19	19	45	1	164	127	119	240
RIMBP2	11	14	11	14	24	22	40	31
COL11A1	92	142	89	9	3131	293	1740	327
QSER1	137	110	228	39	938	873	555	1483
MPC1	12	12	39	4	149	117	80	206
ACAA1	60	71	97	23	277	276	170	340
BCAT1	263	166	551	34	681	419	267	1228
HDAC7	221	226	447	11	1223	650	1000	1739
LZTS1	20	60	45	15	173	39	115	83
PRDM6	33	32	30	38	105	43	78	147
WNT8A	11	15	14	11	2	3	0	0
SPAG4	2	1	7	0	4	0	8	10
NCKAP1	286	249	599	59	2352	1672	1167	3012
MRPS35	17	6	34	2	102	95	81	152
GUCY1B3	23	29	37	1	311	117	240	351
SFSWAP	223	236	349	44	792	504	626	1261
TNK2	119	108	167	13	452	227	405	501
MON2	163	181	377	24	1096	1066	659	1605
CDH3	9	4	4	5	12	23	14	15
GPBP1	85	85	203	26	584	587	381	1202
DGAT2	19	62	42	19	27	120	22	145
ZNF112	28	28	32	12	114	102	68	174
CS	68	40	115	8	379	363	286	733
LTK	7	6	2	6	0	0	4	2
MRPS24	31	12	27	3	78	73	51	97
ELMO2	68	47	88	12	289	137	185	383
WAPL	119	121	210	26	869	514	351	1264
VMP1	70	41	134	14	780	473	602	765
APPBP2	59	51	115	14	378	248	210	656
POLD1	24	24	37	0	74	121	101	182
SEZ6	3	3	2	3	1	0	0	3
EIF4B	760	561	1271	13	3729	3486	2254	8319
SLC6A16	3	15	9	8	36	63	18	68
GLTSCR1	35	40	53	5	112	59	129	191
SPHK2	22	22	39	13	66	36	114	126
RPL18	395	211	592	17	1657	1540	1245	3747
CA11	29	31	18	12	175	68	97	237
ISOC2	23	29	23	11	159	80	73	55
U2AF2	139	70	207	4	596	430	432	670
EPN1	163	167	248	37	835	535	498	797
MED29	53	58	101	14	363	220	191	536
AHRR	29	41	25	13	66	20	72	240
ZNF275	37	52	54	23	297	132	183	228
MTMR1	28	29	47	5	211	164	123	214
GPC1	38	64	70	9	230	201	181	222
ADCK1	6	15	12	11	11	32	28	22
HAGH	43	25	43	5	162	135	145	192
RNF4	63	49	124	5	493	262	273	479
CASP8	33	43	71	27	139	112	70	215
LIMCH1	333	197	367	40	2753	1162	1422	2436
INTS13	12	17	41	6	102	115	80	205
TM7SF3	66	42	113	6	413	319	237	609
DLX3	5	7	4	5	8	15	11	9
SPA17	12	15	23	9	44	21	13	38
TSPAN32	5	10	5	7	5	2	29	11
WISP2	288	170	777	21	1774	2260	1450	3319
DMRT3	5	19	2	7	36	17	36	36
ST3GAL6	12	10	12	7	50	75	24	97
ATP2C2	8	10	3	10	7	27	17	17
NGFR	28	40	36	13	120	50	37	169
CDON	434	193	586	23	1323	605	645	1814
TAF2	54	50	85	8	504	378	168	499
HIPK2	162	188	330	63	876	979	505	1521
TNPO3	60	58	133	7	378	236	210	513
BORCS8-MEF2B	12	3	6	0	14	58	22	39
RFXANK	14	18	20	3	47	42	55	58
TMEM161A	23	19	23	7	44	33	69	77
LPAR2	7	10	14	0	33	31	25	31
CTSA	111	78	162	7	499	183	276	532
SUGP2	185	165	292	33	790	587	506	1073
SLC12A2	32	50	110	13	863	2017	223	3077
SNX24	25	17	39	4	123	72	30	138
EYA2	21	21	18	6	113	75	64	99
CNN2	28	35	62	5	584	232	434	406
ABCA7	10	24	23	4	37	79	36	56
SNCAIP	75	45	72	12	345	176	196	249
DDX20	71	88	71	55	173	159	129	318
BTBD1	56	46	121	16	556	294	243	443
FAR2	6	22	54	7	121	109	95	192
BCAS1	3	17	13	23	8	20	28	27
CHI3L2	3	4	10	3	7	14	2	12
SBNO2	96	79	157	4	468	373	431	473
PMS1	21	26	42	15	181	142	99	306
HMG20B	62	39	94	0	357	227	373	295
CALCRL	24	38	108	9	324	422	140	503
TAF11	27	34	59	5	142	90	87	188
ANKS1A	152	127	265	13	634	537	379	958
AP3D1	248	222	444	24	1607	782	745	1520
ZNF76	35	59	64	10	168	113	144	264
SLC9A3R2	92	139	336	10	1000	414	481	1204
NTHL1	11	17	30	3	59	46	46	50
UHRF1BP1	68	58	67	24	288	227	194	412
GNAI3	157	166	307	80	1007	793	642	1330
IPO5	179	165	425	17	1280	1204	706	2095
OAT	67	26	116	7	957	535	370	518
WDR3	36	41	94	15	311	244	114	419
PKN2	68	110	215	9	758	679	336	1147
WDR18	20	17	31	0	124	66	66	139
TRAM2	144	98	293	19	869	289	632	947
NTN1	453	163	564	15	840	399	329	786
GLP2R	17	23	14	13	13	16	18	5
MCM10	8	10	10	8	29	6	9	9
DGKA	73	74	104	30	339	93	179	344
ERBB3	22	45	15	10	58	112	25	225
ROPN1	7	15	7	11	1	2	18	1
ANKRD44	52	82	88	46	335	211	205	296
KARS	65	78	176	11	515	492	326	820
ADAT1	25	25	50	4	150	103	69	146
PDIA5	60	29	122	5	391	186	217	519
TBC1D22B	11	14	17	3	87	37	59	101
NDUFB4	11	13	27	3	126	118	40	229
SPEN	688	504	1063	66	3118	1918	1936	4908
MYLK	938	714	782	87	7743	3138	4318	6061
ZC3H15	74	65	168	6	639	612	273	1002
MAP2K4	44	58	71	27	270	212	146	281
TMEM206	7	8	9	2	13	17	39	34
SNAP91	8	8	6	6	8	0	18	13
SLK	379	310	561	34	3145	2060	1149	3564
CYB5R4	56	47	77	31	171	123	84	261
COL17A1	9	12	15	6	99	219	31	442
GSTO2	18	24	23	24	10	13	6	56
SEC61A2	8	10	16	4	72	29	17	74
PRKCQ	11	3	10	3	14	16	2	56
TLE2	106	112	86	1	331	164	335	412
ASB1	96	108	103	36	329	198	171	428
FAM107B	158	74	106	27	1851	692	428	734
ME1	10	22	42	6	187	127	56	135
TBC1D1	86	82	175	30	726	309	414	757
CDK13	227	278	450	80	1168	1003	741	1484
MTHFD2	21	18	47	6	185	101	79	186
SLC9A7	32	32	12	14	43	61	37	52
FOXJ2	154	116	237	26	711	300	415	678
YBX1	439	354	956	5	4420	2423	1892	5980
PDE4A	75	35	101	18	247	225	267	266
PPP2R5A	84	68	116	14	401	366	236	680
CTNNA2	4	9	5	6	4	0	1	1
ELAVL1	56	76	100	25	295	161	197	309
TIE1	100	90	238	13	667	345	369	782
DIP2B	90	112	198	34	489	425	339	684
SMARCD1	39	28	74	7	240	138	125	261
KDM4A	70	68	102	2	344	197	234	428
NFYC	65	40	102	6	289	306	156	504
ZMYND12	2	2	2	3	1	0	5	3
SLC9A3	20	16	27	6	35	18	28	125
NGEF	121	39	81	2	77	48	72	220
ASPM	25	21	17	40	117	14	9	21
CD84	24	29	54	22	146	137	53	167
ELOVL1	27	18	90	2	128	100	120	219
SPI1	12	19	36	4	140	70	40	58
ZNRD1	20	33	17	12	25	94	42	115
MPPED2	20	40	19	31	87	37	26	54
CLDN18	12	15	4	8	0	0	3	11
ZBTB11	74	89	160	39	415	329	263	605
ATXN3	83	83	210	8	630	567	358	1132
GOLGA5	49	47	144	7	722	406	285	574
FGFR2	43	23	13	8	55	154	33	158
LRRC40	21	35	32	5	169	168	116	256
ISOC1	8	2	17	2	50	34	20	57
EML1	84	51	169	11	619	239	275	363
TRMT11	44	40	56	7	221	218	71	288
THUMPD1	56	83	161	24	490	479	281	785
MSANTD3	31	36	41	16	336	68	95	144
KIF26A	45	47	100	9	230	168	257	336
ATG2B	211	162	280	24	1139	743	530	1524
ARFGEF1	125	182	296	25	1224	954	570	1522
ACSM2B	36	66	36	48	14	2	15	4
ZFAT	60	67	58	36	153	145	92	212
MTFR1	32	18	54	9	228	65	93	220
STAG3	27	35	47	8	97	79	52	74
FECH	21	16	45	7	188	106	90	187
MYO9A	359	345	720	45	1825	1714	1114	2891
DDX3Y	0	0	205	1	1299	1072	0	1483
PFKP	208	97	353	3	703	376	394	615
IDI1	20	23	27	13	158	133	64	180
SP100	121	148	236	26	777	533	401	1302
KLF6	461	295	692	17	1647	1148	1503	2790
PLPP1	42	22	113	3	814	228	269	490
NEO1	104	65	81	13	761	242	468	519
TRAM1	146	94	281	3	1479	655	687	1530
PHKA1	10	27	19	11	101	86	74	145
TNFRSF1A	115	81	246	5	642	455	461	909
CACNB1	82	54	92	25	277	158	203	242
EVI5	98	95	198	17	825	571	405	961
STOML1	35	52	35	27	84	41	76	57
PKM	650	341	987	16	4709	1658	2646	3153
DHX29	49	38	96	8	541	281	262	650
DNTTIP2	87	123	146	29	572	509	260	877
METTL22	53	46	60	23	140	75	175	177
TP53BP1	264	217	442	52	1651	889	927	1513
TRO	27	30	19	15	191	54	76	45
RRP15	42	62	84	15	210	189	130	397
RHOA	548	317	1156	5	3807	1999	2011	4642
DHX8	121	74	161	18	484	250	418	653
PMS2L4	5	5	11	1	31	27	17	29
PRKCZ	11	13	10	6	11	24	21	17
ZFY	0	0	66	2	266	190	0	344
IARS2	119	83	195	1	746	419	468	895
SYT1	26	39	37	24	70	36	47	41
NAV3	34	80	92	39	241	299	119	263
IDH3G	34	36	42	1	184	153	115	359
ROGDI	16	18	17	4	48	25	73	53
PDZD4	25	19	16	12	53	21	48	96
ATP2B3	16	36	9	19	5	5	17	11
ROCK1	398	351	703	32	3257	1927	1529	4380
CBFB	39	34	56	5	312	150	223	335
PDK3	68	38	57	6	570	386	260	576
HYAL2	78	100	163	10	495	292	210	334
HDAC4	200	199	259	37	823	495	465	995
RASSF1	87	45	120	12	334	313	295	432
FGFR3	13	21	8	3	56	9	32	43
IFI35	16	19	35	3	84	93	69	61
HEATR6	22	25	59	6	111	75	124	269
COASY	35	34	68	10	102	109	95	278
PLEKHH3	45	47	75	9	221	122	202	410
MEF2A	183	176	344	23	1756	714	702	1893
OTUD5	56	64	122	5	309	181	271	412
TFE3	100	69	155	7	407	417	292	474
TBC1D25	38	26	42	7	119	57	76	106
ACSL4	57	52	139	12	750	332	323	655
INPP5A	29	20	75	5	198	115	96	221
GPKOW	23	16	40	0	135	119	116	197
GRIPAP1	123	109	174	13	673	471	364	686
FTSJ1	54	36	63	9	199	57	100	179
PRR11	5	2	1	0	30	6	11	1
REEP1	8	20	14	13	54	20	30	47
ATP11A	166	173	294	29	606	413	451	934
POLR1A	84	98	159	23	509	332	378	623
LAPTM4A	165	129	285	6	1165	1115	646	1903
TTC7A	124	96	220	9	514	426	375	566
IP6K2	72	55	100	8	278	216	164	428
STON1-GTF2A1L	50	15	24	1	14	119	45	339
SRBD1	29	36	72	7	220	222	112	409
KIF2A	53	40	80	7	310	282	192	540
RASGRP2	36	30	48	8	100	43	85	172
PSME4	41	57	143	12	446	361	205	637
IFT80	59	56	104	16	373	196	112	333
SIRT2	59	51	67	12	257	145	211	271
ERLEC1	63	23	84	3	457	155	209	452
PPP2R5B	25	8	18	1	99	37	97	144
PYGM	3	14	17	3	74	21	36	57
PITX1	3	15	5	4	0	2	10	3
TRPC7	6	5	3	7	0	0	0	0
MAST4	129	114	235	47	632	567	419	1131
ADGRF5	138	170	314	12	1676	741	923	3178
SDK2	48	19	53	7	54	51	58	59
ADAM7	4	2	2	2	1	0	0	0
NUP133	80	56	130	14	330	258	196	605
NUCKS1	431	424	762	18	3520	2089	1604	4418
VPS35	132	107	249	27	798	795	444	1057
DNAJA2	98	88	148	13	715	477	317	958
BCL3	28	19	58	4	156	115	123	223
KCNAB2	50	53	44	19	92	93	89	133
ABCC9	141	220	321	18	2395	1100	901	2558
CLEC2D	15	40	42	22	241	118	64	129
FUNDC1	12	5	12	1	85	56	20	88
MAOB	32	27	68	4	172	309	117	415
RORA	313	216	536	51	2806	1207	806	2335
DRD4	0	1	0	1	1	0	0	8
TGFBR3	647	377	1010	15	2522	1949	1262	5053
HES2	2	21	9	3	0	13	0	5
ATP1B3	50	43	123	3	597	430	213	501
NEDD4	170	114	170	11	754	537	490	1271
PIGB	18	26	19	21	83	92	42	138
MAPK6	84	57	121	30	783	409	355	616
GNB5	112	100	105	40	263	148	227	391
RAB27A	29	15	45	5	224	84	121	222
CECR5	25	21	50	8	43	81	92	105
UFD1L	75	62	119	19	433	225	206	379
LRP6	328	301	645	33	2194	1901	1319	3229
PHRF1	234	185	341	15	1111	899	780	1198
IKBKAP	88	65	138	2	342	301	303	555
NUCB2	109	81	287	13	1540	620	717	1458
PFN2	57	28	64	5	364	157	196	344
PTPN3	25	51	40	32	66	87	51	54
SPTB	44	58	39	24	76	80	45	56
DAPP1	14	20	19	12	29	29	10	6
FGF10	11	27	16	13	75	162	21	159
SLC44A1	141	101	245	17	1650	838	1122	1838
TMEM260	27	32	42	17	159	113	87	308
SMG6	143	163	251	28	780	499	481	905
EXOC5	93	113	251	29	1043	737	464	1249
CLTCL1	50	53	55	11	85	78	120	246
FGF22	6	8	3	3	0	5	17	0
FSTL3	45	54	75	10	95	233	145	234
DGCR2	101	83	128	10	388	275	336	476
RNF126	40	40	48	2	130	77	78	154
MNT	111	91	140	14	526	215	491	482
ZXDC	138	157	135	27	419	299	249	600
JMJD6	67	56	80	30	131	92	163	300
POLB	10	12	28	3	95	106	58	196
ST6GALNAC1	11	10	23	7	74	49	13	144
WIPI1	20	19	79	1	260	117	149	215
FRMPD1	13	25	11	13	22	20	22	16
GBA2	75	53	117	7	323	181	276	376
NDST1	139	120	240	8	1102	513	582	1131
ASNS	10	20	18	3	45	31	3	30
AP3M2	42	39	80	33	219	179	121	379
CNGB1	20	28	9	9	0	17	15	3
ST6GALNAC2	9	18	2	3	30	31	34	138
PABPC1	859	671	1490	6	5884	4238	2979	11732
TESK2	8	14	25	1	34	23	55	135
CFAP20	46	23	49	11	127	73	109	211
CSNK2A2	119	93	171	21	539	322	309	756
PTPN21	127	86	182	14	880	487	549	788
EIF2B3	18	18	35	1	80	125	103	150
CAMK2A	10	15	18	9	7	8	12	6
TCOF1	88	110	138	30	344	392	290	519
CDC42	121	92	265	3	943	569	555	1086
OSBPL3	69	34	85	15	298	193	171	170
EPHA8	0	2	4	5	2	1	2	3
SLC12A3	11	15	10	14	1	6	15	5
RAD18	22	27	47	17	93	62	94	140
ATP2B1	104	119	277	23	759	687	406	925
NCK2	38	34	90	16	423	211	205	421
MAP4K4	384	380	784	36	7212	2458	2374	4405
MGAT4A	47	56	75	12	242	240	170	599
RPL31	209	165	461	7	1601	1739	795	3194
WDR1	213	171	533	15	1855	863	1076	1578
SNX13	94	155	271	65	845	776	372	1114
ARHGAP10	105	164	222	20	636	677	420	1113
RPS6KA2	219	193	354	12	855	811	699	1968
ING3	20	32	48	3	229	255	95	232
VASH1	113	131	241	32	625	243	472	808
LMCD1	110	157	253	35	1003	568	572	1159
WBSCR22	41	49	66	22	245	130	171	251
SEL1L	127	115	349	20	1410	778	741	1313
TRIP13	3	3	5	6	21	15	7	12
ATP6AP1	100	72	96	14	292	174	219	396
TCF3	82	76	114	8	419	185	236	260
TRIB2	140	97	108	12	647	331	940	1030
DAZAP1	127	115	184	32	581	297	397	501
MBD3	51	69	124	21	354	195	248	253
HLTF	62	90	140	27	445	355	207	516
FAM50A	116	89	142	8	664	373	508	477
FAM3A	35	39	79	5	124	143	173	179
CPSF1	192	123	345	5	566	451	447	999
MYO3B	14	14	13	12	8	14	2	35
CYBRD1	989	740	1591	21	5564	4385	4149	10605
CDH19	9	22	14	14	85	165	10	206
PDCD2	62	78	118	37	224	199	210	473
SLC6A15	21	38	27	48	14	19	7	17
RDH11	60	42	89	15	295	195	205	479
PRKACA	94	97	202	11	652	330	460	595
ADGRL1	41	61	79	11	260	301	303	421
ACTN1	386	268	629	27	3455	1336	2374	2987
ZFYVE26	153	145	237	38	797	420	432	888
RPS6KA6	13	24	17	10	25	49	13	27
EPN2	104	72	206	9	472	331	343	612
PTPN18	109	116	216	5	617	424	340	886
LIMS2	120	131	282	12	536	316	444	930
ASIC4	11	27	9	10	20	1	17	23
SPEG	51	59	101	20	225	146	159	182
LNX1	18	27	87	3	126	117	36	276
ALDH3A2	172	107	320	8	668	691	435	1730
TFRC	38	36	57	8	182	304	203	219
SREBF1	161	151	163	17	579	449	338	567
TRPC5	10	23	3	16	7	3	2	0
AFF4	253	256	504	30	2386	1138	890	2421
UBE2D1	8	10	32	11	82	88	39	192
MPP5	67	95	113	29	329	375	218	525
RHOBTB1	99	112	79	16	381	209	244	522
SMC1A	414	362	541	40	2234	1030	1387	2077
HSD17B10	9	10	25	0	82	45	71	85
MARK2	37	29	70	3	195	147	136	230
HMMR	2	4	4	3	21	2	0	0
CHFR	86	91	142	38	399	244	262	499
TRHDE	7	19	11	15	6	40	9	21
P4HA2	77	96	140	33	318	148	180	288
FCGR2B	50	73	51	38	109	164	86	125
NFATC3	111	86	219	21	678	510	413	1225
TRNT1	23	26	59	7	175	117	74	226
ACADVL	218	174	350	9	1162	847	616	1406
STK10	60	54	119	12	485	280	318	505
FBXW11	79	43	75	5	406	251	268	487
ACAP1	15	28	18	11	20	16	37	20
CRMP1	6	8	8	6	5	26	36	14
EVC	340	258	429	13	1273	835	1219	1306
DERL2	33	51	64	30	192	166	120	228
SIDT1	14	10	16	19	49	5	23	22
NDE1	40	31	83	7	193	160	133	256
MRVI1	96	93	162	13	761	255	378	1157
TMEM38A	4	14	5	12	23	16	1	23
AP1M1	95	93	171	22	381	279	339	484
PVR	37	60	75	21	227	97	140	175
XRCC1	34	35	53	2	208	130	118	256
SCARB1	107	125	181	22	444	404	293	1420
CYP2W1	2	2	0	2	6	0	1	0
MCM2	28	27	61	6	171	52	78	68
MOV10L1	4	5	2	3	2	4	1	17
PANX2	6	11	2	8	0	4	0	10
SELO	25	30	35	5	91	112	112	152
TP63	12	18	21	20	29	62	21	55
ALPK1	84	97	112	56	392	203	145	495
LLGL2	9	18	24	6	38	128	19	107
PDE8A	93	119	173	20	600	376	275	590
CLCN4	46	33	45	18	312	114	162	236
NLE1	24	31	44	9	52	64	65	104
SDHA	146	108	248	32	798	527	378	1019
SMARCE1	186	205	407	57	1868	1141	571	1760
GSDMB	28	64	42	22	100	92	97	215
KDM5A	209	195	376	26	1296	995	727	1984
ADAM11	5	9	11	4	14	12	4	10
PPP2R3A	81	67	177	25	732	313	439	511
FERMT2	168	85	362	15	1484	817	855	1399
ABCB11	1	5	5	9	0	9	0	2
DHRS9	1	7	2	6	0	12	0	2
CD5L	3	9	4	5	1	0	1	0
PTGS2	7	10	8	6	6	15	8	20
IGF2BP2	12	24	27	5	102	111	15	181
MAP3K13	40	52	54	34	122	109	100	224
ST6GAL1	67	88	207	21	356	286	283	987
TBX21	2	2	4	4	0	4	0	5
VDAC1LP	2	0	0	3	4	1	3	19
FRY	148	198	322	45	1150	812	817	2005
PICALM	174	189	402	6	1463	1093	854	3034
NSF	29	36	111	2	316	246	189	283
GLI2	40	38	51	5	139	77	108	123
CLASP1	167	178	327	11	856	680	613	1400
MRPS34	40	12	54	2	155	82	115	186
NOTCH3	384	588	1159	8	3992	1442	2540	4913
CLNS1A	82	99	148	5	601	482	330	876
PPP2R2C	35	50	26	30	17	11	26	19
TEAD2	31	18	64	3	169	85	107	247
EED	49	56	81	36	172	175	163	320
PCDH24	0	2	2	2	1	9	0	0
SNCB	5	3	0	4	2	0	4	10
TSG101	41	57	69	11	254	164	130	297
NCBP3	195	180	296	45	880	610	589	1213
ATP2A3	60	41	71	8	163	180	102	243
CA12	116	88	130	35	297	151	62	431
MGLL	212	218	577	24	1612	937	912	2197
NTN4	94	72	221	9	550	424	329	895
BCS1L	24	16	45	6	99	37	99	144
NUAK1	143	129	209	24	532	356	801	1215
DPP8	100	114	204	32	927	536	366	1159
SLC24A1	65	83	92	31	270	240	126	485
ZNF532	246	211	451	16	1565	643	1028	1766
SCARF1	58	73	67	23	253	97	140	324
LMAN1	198	141	348	5	1950	1126	861	1655
HACD3	48	52	109	24	422	394	230	455
IPCEF1	42	59	43	26	53	11	25	18
ZZEF1	270	292	442	17	1427	862	809	1702
